Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2014-06-01 23:01:29;2014-06-02 08:15:52;0%;9:14;;;0;3844
2014-06-02 21:41:19;2014-06-03 05:07:37;0%;7:26;;;0;9066
2014-06-03 21:20:14;2014-06-04 04:55:45;0%;7:35;;;0;13206
2014-06-04 22:08:39;2014-06-05 05:08:52;59%;7:00;;;0;9353
2014-06-05 21:41:30;2014-06-06 05:06:26;73%;7:24;;;0;15195
2014-06-06 23:20:33;2014-06-07 07:03:29;68%;7:42;;;0;17669
2014-06-08 01:42:31;2014-06-08 08:39:35;52%;6:57;;;0;12585
2014-06-08 21:48:12;2014-06-09 07:32:02;100%;9:43;;;0;3988
2014-06-09 21:53:23;2014-06-10 05:08:54;88%;7:15;;;0;9212
2014-06-10 21:51:00;2014-06-11 04:59:35;80%;7:08;;;0;11538
2014-06-11 21:59:59;2014-06-12 05:10:08;78%;7:10;;;0;9089
2014-06-12 22:05:36;2014-06-13 06:25:33;91%;8:19;;;0;15917
2014-06-13 22:19:50;2014-06-14 07:03:36;79%;8:43;;;0;12615
2014-06-14 22:30:45;2014-06-15 06:46:32;89%;8:15;;;0;7625
2014-06-15 23:18:43;2014-06-16 07:57:02;77%;8:38;;;0;5446
2014-06-16 21:59:14;2014-06-17 05:14:54;77%;7:15;;;0;8149
2014-06-17 21:25:23;2014-06-18 04:56:50;74%;7:31;;;0;11856
2014-06-18 21:00:43;2014-06-19 05:14:31;79%;8:13;;;0;8242
2014-06-19 21:22:04;2014-06-20 05:04:46;79%;7:42;;;0;10789
2014-06-20 23:00:12;2014-06-21 06:10:53;80%;7:10;;;0;16255
2014-06-23 21:33:09;2014-06-24 05:15:24;77%;7:42;;;0;7045
2014-06-24 21:27:46;2014-06-25 04:59:05;50%;7:31;;;0;17327
2014-06-25 21:59:33;2014-06-26 06:07:56;88%;8:08;;;0;9275
2014-06-26 21:35:44;2014-06-27 05:07:37;73%;7:31;;;0;11856
